,0
0,3067.73
1,5323.14
2,9117.96
3,4040.29
4,1669.92
5,6038.17
6,4596.65
7,4250.02
8,5226.24
9,15911.22
10,4296.01
11,693.06
12,3000.96
13,1630.21
14,2387.06
15,1100.51
16,1445.63
17,4040.84
18,4253.91
19,917.57
20,2124.47
21,5131.57
22,4353.48
23,610.32
24,16357.89
25,1082.94
26,594.54
27,1000.71
28,1675.19
29,854.35
30,10082.58
31,548.47
32,4078.31
33,730.58
34,645.08
35,2280.61
36,6377.13
37,2686.46
38,2818.28
39,644.45
40,500.66
41,9189.72
42,913.95
43,1907.26
44,10373.45
45,2488.21
46,889.97
47,868.84
48,1254.49
49,2829.45
50,586.65
51,4566.71
52,2937.98
53,7022.04
54,5594.66
55,2181.6
56,9437.45
57,2520.25
58,4512.63
59,2900.1
60,1254.05
61,516.05
62,7157.95
63,1089.75
64,8886.29
65,17030.9
66,937.91
67,11592.44
68,5042.64
69,9321.29
70,467.07
71,643.46
72,883.86
73,1302.04
74,5202.61
75,1841.14
76,8858.16
77,13973.38
78,2848.04
79,6842.04
80,11246.24
81,2072.87
82,14455.48
83,6457.11
84,829.6
85,7310.52
86,1047.39
87,12316.68
88,8166.18
89,14000.66
90,5034.89
91,1364.72
92,984.41
93,916.9253333333332
94,16110.83
95,538.91
96,14397.49
97,14812.46
98,12430.55
99,598.6
100,2430.54
101,759.0145476190476
102,641.55
103,463.67
104,1051.09
105,1626.46
106,1189.45
107,813.05
108,1035.52
109,654.55
110,645.24
111,996.16
112,1890.71
113,1632.84
114,1518.18
115,5131.15
116,5307.57
117,16084.33
118,507.0
119,16491.25
120,1297.97
121,1679.33
122,1128.14
123,497.24
124,697.57
125,1263.07
126,1120.85
127,12904.53
128,5187.3
129,5327.81
130,6141.86
131,3317.32
132,6809.32
133,1034.14
134,3444.89
135,1035.03
136,587.25
137,7556.89
138,539.78
139,4405.86
140,779.89
141,1059.1
142,3642.64
143,3816.04
144,750.925
145,6442.84
146,16715.94
147,5309.84
148,2586.38
149,1908.75
150,2369.06
151,1703.81
152,12503.1
153,2858.56
154,682.64
155,15420.56
156,3693.09
157,3022.72
158,3845.45
159,929.55
160,7966.06
161,9683.66
162,659.05
163,701.51
164,5432.64
165,11644.56
166,3376.56
167,4972.35
168,3149.19
169,12070.91
170,680.09
171,1681.04
172,4498.26
173,2097.86
174,6595.36
175,1758.65
176,4510.93
177,3577.97
178,2540.17
179,3423.11
180,3499.81
181,1815.45
182,890.54
183,1661.73
184,676.97
185,4130.45
186,853.26
187,880.62
188,499.19
189,1803.35
190,2312.57
191,729.38
192,885.63
193,6249.63
194,3634.27
195,2547.58
196,576.61
197,13373.99
198,609.19
199,8914.38
200,10533.77
201,6072.74
202,689.78
203,701.74
204,6497.55
205,3754.6
206,628.21
207,3039.95
208,933.45
209,8335.31
210,2634.64
211,7760.95
212,10697.44
213,406.16
214,1300.51
215,718.47
216,2644.9
217,2732.31
218,850.85
219,1432.72
220,2633.92
221,2124.2
222,8915.59
223,992.74
224,1210.37
225,4305.1
226,3671.36
227,2111.52
228,6650.75
229,1880.07
230,4995.92
231,1416.53
232,1235.88
233,1552.94
234,973.12
235,8592.77
236,1167.61
237,991.57
238,4078.4
239,8445.34
240,6230.37
241,968.7
242,15065.93
243,4546.45
244,483.58
245,1060.49
246,2428.89
247,7185.31
248,10861.43
249,5597.06
250,5213.52
251,1531.02
252,2789.16
253,5167.3
254,5020.47
255,1246.51
256,651.5
257,2008.3
258,774.94
259,14988.91
260,5930.27
261,4681.9
262,1770.39
263,3760.59
264,799.02
265,2288.92
266,8954.62
267,1791.49
268,1011.37
269,8671.66
270,7610.4
271,735.73
272,4379.67
273,5224.07
274,513.52
275,893.5
276,5980.94
277,551.25
278,6524.49
279,8226.43
280,1668.28
281,2603.37
282,3968.39
283,9583.3
284,9042.0
285,11088.37
286,5117.7
287,16399.75
288,1706.91
289,5909.25
290,437.31
291,8735.26
292,17573.43
293,929.16
294,7620.63
295,1743.62
296,2219.29
297,706.09
298,442.05
299,5714.51
300,2198.24
301,1135.73
302,3500.86
303,5336.72
304,5937.99
305,8822.46
306,1046.14
307,1097.28
308,1763.79
309,2179.64
310,1767.35
311,462.76
312,7641.1
313,5190.85
314,2362.62
315,10367.36
316,684.94
317,1048.2
318,947.12
319,8286.21
320,4847.26
321,528.96
322,451.91
323,508.87
324,922.93
325,5667.74
326,1666.43
327,1769.38
328,6387.33
329,673.68
330,17634.06
331,2373.68
332,829.67
333,8486.06
334,3280.29
335,1746.97
336,14762.61
337,972.46
338,933.05
339,5933.67
340,599.32
341,1617.48
342,661.21
343,4250.76
344,4590.33
345,1744.69
346,704.61
347,2537.97
348,4748.87
349,873.94
350,3156.47
351,467.16
352,2887.0
353,1938.34
354,618.1
355,1390.23
356,655.42
357,11575.06
358,1477.4
359,508.53
360,1032.02
361,8375.36
362,591.34
363,9605.4
364,3655.71
365,701.05
366,712.75
367,4771.27
368,1755.87
369,599.48
370,610.95
371,718.16
372,6256.3
373,976.2
374,430.87
375,847.22
376,644.64
377,4102.09
378,2672.72
379,532.01
380,4596.42
381,494.61
382,761.53
383,9582.94
384,1159.28
385,789.5
386,16143.63
387,11672.79
388,862.82
389,807.08
390,2583.11
391,922.46
392,9048.15
393,595.32
394,2036.34
395,4672.51
396,675.3
397,2022.38
398,997.34
399,2368.94
400,4863.0
401,611.13
402,2624.22
403,11242.52
404,1202.88
405,1121.68
406,519.68
407,17447.26
408,2257.71
409,6111.87
410,894.29
411,708.07
412,4581.06
413,1474.68
414,7231.62
415,893.92
416,1506.39
417,8284.19
418,409.55
419,4732.79
420,13684.2
421,4598.81
422,4879.43
423,938.04
424,1191.63
425,419.7
426,785.34
427,14053.02
428,1748.71
429,7613.35
430,4267.2
431,16997.69
432,2052.32
433,3104.93
434,568.5
435,3178.44
436,2341.44
437,1131.43
438,6972.82
439,611.05
440,3479.16
441,1570.89
442,888.07
443,628.8
444,978.01
445,1148.03
446,2187.48
447,5721.07
448,888.41
449,2374.38
450,624.47
451,1137.8
452,7240.43
453,6494.29
454,2852.89
455,4163.59
456,1016.09
457,12176.17
458,3974.52
459,4954.45
460,13621.99
461,507.43
462,772.51
463,623.39
464,872.33
465,4215.91
466,818.96
467,4311.77
468,4517.09
469,1301.89
470,2595.97
471,2358.21
472,2307.0
473,6979.16
474,1354.12
475,1121.94
476,16897.23
477,5831.61
478,2730.1
479,11119.45
480,859.92
481,5648.72
482,10914.87
483,15328.27
484,1238.39
485,4189.66
486,12169.43
487,3096.21
488,2435.37
489,1836.53
490,592.58
491,752.59
492,4686.19
493,9577.04
494,2324.85
495,716.72
496,2244.88
497,5460.46
498,1796.74
499,4043.67
500,10703.11
501,651.01
502,9173.23
503,1447.11
504,492.15
505,4305.98
506,622.05
507,3506.14
508,1748.33
509,1013.54
510,1456.94
511,584.18
512,1017.14
513,3870.65
514,3187.23
515,14609.77
516,4777.13
517,7127.11
518,1088.83
519,1971.48
520,5589.89
521,2219.3
522,653.27
523,6497.22
524,9377.23
525,1750.97
526,1300.53
527,2255.37
528,4494.93
529,4625.53
530,2598.21
531,2602.69
532,3062.69
533,7279.34
534,2572.62
535,15297.91
536,15485.12
537,4620.03
538,2013.21
539,1896.31
540,10876.24
541,10821.24
542,703.13
543,16351.31
544,600.47
545,7601.43
546,9161.9
547,1865.13
548,893.92
549,7623.67
550,537.76
551,949.59
552,7037.95
553,1623.83
554,2397.77
555,14850.82
556,4730.66
557,9451.26
558,1448.46
559,2867.5
560,812.19
561,2510.8
562,689.01
563,4349.54
564,5704.08
565,2335.89
566,2361.64
567,2125.41
568,5864.75
569,1831.1
570,1321.4
571,4394.5
572,16413.72
573,16129.56
574,5252.22
575,624.33
576,4304.49
577,1124.17
578,568.12
579,3443.83
580,2287.34
581,846.57
582,926.29
583,486.69
584,8348.43
585,1701.6
586,913.95
587,877.76
588,2577.69
589,3765.04
590,1821.07
591,515.91
592,953.69
593,615.38
594,8908.81
595,1426.67
596,14745.97
597,973.42
598,1202.95
599,3229.92
600,2334.0
601,8874.33
602,2389.3
603,9946.29
604,530.59
605,1154.69
606,912.97
607,5490.36
608,2245.45
609,531.02
610,1665.58
611,886.78
612,3775.35
613,3113.27
614,1009.12
615,490.36
616,683.19
617,3250.5
618,14398.16
619,10736.41
620,877.11
621,648.95
622,828.69
623,2281.3
624,4792.71
625,15089.4
626,1125.13
627,661.21
628,1734.34
629,3857.01
630,2628.1
631,10784.98
632,1267.22
633,1133.63
634,4052.43
635,8110.87
636,4147.6
637,1031.86
638,14175.31
639,4560.82
640,6599.3
641,486.48
642,790.0
643,4653.9
644,1001.53
645,707.97
646,1911.86
647,1699.26
648,5002.93
649,1781.89
650,3401.29
651,15299.62
652,1190.64
653,1897.19
654,1035.95
655,16920.43
656,2618.0
657,1157.86
658,873.58
659,1030.12
660,2986.04
661,986.63
662,4515.1
663,624.61
664,402.05
665,880.94
666,5603.89
667,3363.41
668,17202.64
669,14375.02
670,1834.52
671,15049.21
672,1301.57
673,3118.62
674,983.07
675,6630.3
676,3726.44
677,1587.7
678,1177.04
679,1192.87
680,666.28
681,8725.11
682,2000.66
683,1301.94
684,4160.13
685,703.55
686,1481.6
687,2608.61
688,699.36
689,16323.22
690,3121.27
691,757.04
692,984.81
693,8387.04
694,5814.6
695,12698.04
696,719.14
697,3280.38
698,525.0
699,1091.57
700,979.75
701,2772.77
702,764.0
703,2344.26
704,4021.82
705,818.77
706,414.02
707,5505.51
708,903.51
709,712.17
710,6436.42
711,4974.75
712,716.48
713,752.5
714,522.6
715,691.89
716,1265.26
717,6072.06
718,15327.85
719,7960.6
720,12259.52
721,4510.57
722,567.49
723,2342.25
724,2886.82
725,4820.1
726,926.18
727,665.63
728,1570.74
729,10983.87
730,12648.55
731,2112.12
732,755.81
733,4238.14
734,4768.23
735,10507.31
736,7037.5
737,1928.41
738,591.39
739,5589.44
740,2736.86
741,5757.64
742,5149.1
743,821.39
744,11392.6
745,17318.15
746,772.98
747,988.09
748,1653.69
749,714.13
750,1222.67
751,1934.81
752,5251.57
753,3876.99
754,782.0
755,3010.75
756,9033.35
757,1793.99
758,2400.19
759,13991.4
760,8016.65
761,1189.19
762,1352.61
763,1896.27
764,4409.32
765,2128.24
766,5827.94
767,4389.49
768,838.93
769,668.57
770,5221.89
771,502.95
772,898.86
773,519.13
774,4088.75
775,4499.78
776,936.39
777,1133.41
778,6789.17
779,5977.01
780,6880.36
781,5756.93
782,596.21
783,4572.5
784,761.02
785,1861.6
786,670.05
